startDateTime,endDateTime,staPresMean,staPresMinimum,staPresMaximum,staPresVariance,staPresNumPts,staPresExpUncert,staPresStdErMean,staPresFinalQF,corPres,corPresExpUncert,corPresFinalQF
"2014-06-05T17:30:00Z","2014-06-05T18:00:00Z",,,,,,,,1,,,
"2014-06-05T18:00:00Z","2014-06-05T18:30:00Z",,,,,,,,1,,,
"2014-06-05T18:30:00Z","2014-06-05T19:00:00Z",,,,,,,,1,,,
"2014-06-05T19:00:00Z","2014-06-05T19:30:00Z",,,,,,,,1,,,
"2014-06-05T19:30:00Z","2014-06-05T20:00:00Z",,,,,,,,1,,,
"2014-06-05T20:00:00Z","2014-06-05T20:30:00Z",,,,,,,,1,,,
"2014-06-05T20:30:00Z","2014-06-05T21:00:00Z",,,,,,,,1,,,
"2014-06-05T21:00:00Z","2014-06-05T21:30:00Z",,,,,,,,1,,,
"2014-06-05T21:30:00Z","2014-06-05T22:00:00Z",,,,,,,,1,,,
"2014-06-05T22:00:00Z","2014-06-05T22:30:00Z",,,,,,,,1,,,
"2014-06-05T22:30:00Z","2014-06-05T23:00:00Z",,,,,,,,1,,,
"2014-06-05T23:00:00Z","2014-06-05T23:30:00Z",,,,,,,,1,,,
"2014-06-05T23:30:00Z","2014-06-06T00:00:00Z",,,,,,,,1,,,
"2014-06-06T00:00:00Z","2014-06-06T00:30:00Z",,,,,,,,1,,,
"2014-06-06T00:30:00Z","2014-06-06T01:00:00Z",,,,,,,,1,,,
"2014-06-06T01:00:00Z","2014-06-06T01:30:00Z",,,,,,,,1,,,
"2014-06-06T01:30:00Z","2014-06-06T02:00:00Z",,,,,,,,1,,,
"2014-06-06T02:00:00Z","2014-06-06T02:30:00Z",,,,,,,,1,,,
"2014-06-06T02:30:00Z","2014-06-06T03:00:00Z",,,,,,,,1,,,
"2014-06-06T03:00:00Z","2014-06-06T03:30:00Z",,,,,,,,1,,,
"2014-06-06T03:30:00Z","2014-06-06T04:00:00Z",,,,,,,,1,,,
"2014-06-06T04:00:00Z","2014-06-06T04:30:00Z",,,,,,,,1,,,
"2014-06-06T04:30:00Z","2014-06-06T05:00:00Z",,,,,,,,1,,,
"2014-06-06T05:00:00Z","2014-06-06T05:30:00Z",,,,,,,,1,,,
"2014-06-06T05:30:00Z","2014-06-06T06:00:00Z",,,,,,,,1,,,
"2014-06-06T06:00:00Z","2014-06-06T06:30:00Z",,,,,,,,1,,,
"2014-06-06T06:30:00Z","2014-06-06T07:00:00Z",,,,,,,,1,,,
"2014-06-06T07:00:00Z","2014-06-06T07:30:00Z",,,,,,,,1,,,
"2014-06-06T07:30:00Z","2014-06-06T08:00:00Z",,,,,,,,1,,,
"2014-06-06T08:00:00Z","2014-06-06T08:30:00Z",,,,,,,,1,,,
"2014-06-06T08:30:00Z","2014-06-06T09:00:00Z",,,,,,,,1,,,
"2014-06-06T09:00:00Z","2014-06-06T09:30:00Z",,,,,,,,1,,,
"2014-06-06T09:30:00Z","2014-06-06T10:00:00Z",,,,,,,,1,,,
"2014-06-06T10:00:00Z","2014-06-06T10:30:00Z",,,,,,,,1,,,
"2014-06-06T10:30:00Z","2014-06-06T11:00:00Z",,,,,,,,1,,,
"2014-06-06T11:00:00Z","2014-06-06T11:30:00Z",,,,,,,,1,,,
"2014-06-06T11:30:00Z","2014-06-06T12:00:00Z",,,,,,,,1,,,
"2014-06-06T12:00:00Z","2014-06-06T12:30:00Z",,,,,,,,1,,,
"2014-06-06T12:30:00Z","2014-06-06T13:00:00Z",,,,,,,,1,,,
"2014-06-06T13:00:00Z","2014-06-06T13:30:00Z",,,,,,,,1,,,
"2014-06-06T13:30:00Z","2014-06-06T14:00:00Z",,,,,,,,1,,,
"2014-06-06T14:00:00Z","2014-06-06T14:30:00Z",,,,,,,,1,,,
"2014-06-06T14:30:00Z","2014-06-06T15:00:00Z",,,,,,,,1,,,
"2014-06-06T15:00:00Z","2014-06-06T15:30:00Z",,,,,,,,1,,,
"2014-06-06T15:30:00Z","2014-06-06T16:00:00Z",,,,,,,,1,,,
"2014-06-06T16:00:00Z","2014-06-06T16:30:00Z",,,,,,,,1,,,
"2014-06-06T16:30:00Z","2014-06-06T17:00:00Z",,,,,,,,1,,,
"2014-06-06T17:00:00Z","2014-06-06T17:30:00Z",,,,,,,,1,,,
"2014-06-06T17:30:00Z","2014-06-06T18:00:00Z",,,,,,,,1,,,
"2014-06-06T18:00:00Z","2014-06-06T18:30:00Z",,,,,,,,1,,,
"2014-06-06T18:30:00Z","2014-06-06T19:00:00Z",,,,,,,,1,,,
"2014-06-06T19:00:00Z","2014-06-06T19:30:00Z",,,,,,,,1,,,
"2014-06-06T19:30:00Z","2014-06-06T20:00:00Z",,,,,,,,1,,,
"2014-06-06T20:00:00Z","2014-06-06T20:30:00Z",,,,,,,,1,,,
"2014-06-06T20:30:00Z","2014-06-06T21:00:00Z",,,,,,,,1,,,
"2014-06-06T21:00:00Z","2014-06-06T21:30:00Z",,,,,,,,1,,,
"2014-06-06T21:30:00Z","2014-06-06T22:00:00Z",,,,,,,,1,,,
"2014-06-06T22:00:00Z","2014-06-06T22:30:00Z",,,,,,,,1,,,
"2014-06-06T22:30:00Z","2014-06-06T23:00:00Z",,,,,,,,1,,,
"2014-06-06T23:00:00Z","2014-06-06T23:30:00Z",,,,,,,,1,,,
"2014-06-06T23:30:00Z","2014-06-07T00:00:00Z",,,,,,,,1,,,
"2014-06-07T00:00:00Z","2014-06-07T00:30:00Z",,,,,,,,1,,,
"2014-06-07T00:30:00Z","2014-06-07T01:00:00Z",,,,,,,,1,,,
"2014-06-07T01:00:00Z","2014-06-07T01:30:00Z",,,,,,,,1,,,
"2014-06-07T01:30:00Z","2014-06-07T02:00:00Z",,,,,,,,1,,,
"2014-06-07T02:00:00Z","2014-06-07T02:30:00Z",,,,,,,,1,,,
"2014-06-07T02:30:00Z","2014-06-07T03:00:00Z",,,,,,,,1,,,
"2014-06-07T03:00:00Z","2014-06-07T03:30:00Z",,,,,,,,1,,,
"2014-06-07T03:30:00Z","2014-06-07T04:00:00Z",,,,,,,,1,,,
"2014-06-07T04:00:00Z","2014-06-07T04:30:00Z",,,,,,,,1,,,
"2014-06-07T04:30:00Z","2014-06-07T05:00:00Z",,,,,,,,1,,,
"2014-06-07T05:00:00Z","2014-06-07T05:30:00Z",,,,,,,,1,,,
"2014-06-07T05:30:00Z","2014-06-07T06:00:00Z",,,,,,,,1,,,
"2014-06-07T06:00:00Z","2014-06-07T06:30:00Z",,,,,,,,1,,,
"2014-06-07T06:30:00Z","2014-06-07T07:00:00Z",,,,,,,,1,,,
"2014-06-07T07:00:00Z","2014-06-07T07:30:00Z",,,,,,,,1,,,
"2014-06-07T07:30:00Z","2014-06-07T08:00:00Z",,,,,,,,1,,,
"2014-06-07T08:00:00Z","2014-06-07T08:30:00Z",,,,,,,,1,,,
"2014-06-07T08:30:00Z","2014-06-07T09:00:00Z",,,,,,,,1,,,
"2014-06-07T09:00:00Z","2014-06-07T09:30:00Z",,,,,,,,1,,,
"2014-06-07T09:30:00Z","2014-06-07T10:00:00Z",,,,,,,,1,,,
"2014-06-07T10:00:00Z","2014-06-07T10:30:00Z",,,,,,,,1,,,
"2014-06-07T10:30:00Z","2014-06-07T11:00:00Z",,,,,,,,1,,,
"2014-06-07T11:00:00Z","2014-06-07T11:30:00Z",,,,,,,,1,,,
"2014-06-07T11:30:00Z","2014-06-07T12:00:00Z",,,,,,,,1,,,
"2014-06-07T12:00:00Z","2014-06-07T12:30:00Z",,,,,,,,1,,,
"2014-06-07T12:30:00Z","2014-06-07T13:00:00Z",,,,,,,,1,,,
"2014-06-07T13:00:00Z","2014-06-07T13:30:00Z",,,,,,,,1,,,
"2014-06-07T13:30:00Z","2014-06-07T14:00:00Z",,,,,,,,1,,,
"2014-06-07T14:00:00Z","2014-06-07T14:30:00Z",,,,,,,,1,,,
"2014-06-07T14:30:00Z","2014-06-07T15:00:00Z",,,,,,,,1,,,
"2014-06-07T15:00:00Z","2014-06-07T15:30:00Z",,,,,,,,1,,,
"2014-06-07T15:30:00Z","2014-06-07T16:00:00Z",,,,,,,,1,,,
"2014-06-07T16:00:00Z","2014-06-07T16:30:00Z",,,,,,,,1,,,
"2014-06-07T16:30:00Z","2014-06-07T17:00:00Z",,,,,,,,1,,,
"2014-06-07T17:00:00Z","2014-06-07T17:30:00Z",,,,,,,,1,,,
"2014-06-07T17:30:00Z","2014-06-07T18:00:00Z",,,,,,,,1,,,
"2014-06-07T18:00:00Z","2014-06-07T18:30:00Z",,,,,,,,1,,,
"2014-06-07T18:30:00Z","2014-06-07T19:00:00Z",,,,,,,,1,,,
"2014-06-07T19:00:00Z","2014-06-07T19:30:00Z",,,,,,,,1,,,
"2014-06-07T19:30:00Z","2014-06-07T20:00:00Z",,,,,,,,1,,,
"2014-06-07T20:00:00Z","2014-06-07T20:30:00Z",,,,,,,,1,,,
"2014-06-07T20:30:00Z","2014-06-07T21:00:00Z",,,,,,,,1,,,
"2014-06-07T21:00:00Z","2014-06-07T21:30:00Z",,,,,,,,1,,,
"2014-06-07T21:30:00Z","2014-06-07T22:00:00Z",,,,,,,,1,,,
"2014-06-07T22:00:00Z","2014-06-07T22:30:00Z",,,,,,,,1,,,
"2014-06-07T22:30:00Z","2014-06-07T23:00:00Z",,,,,,,,1,,,
"2014-06-07T23:00:00Z","2014-06-07T23:30:00Z",,,,,,,,1,,,
"2014-06-07T23:30:00Z","2014-06-08T00:00:00Z",,,,,,,,1,,,
"2014-06-08T00:00:00Z","2014-06-08T00:30:00Z",,,,,,,,1,,,
"2014-06-08T00:30:00Z","2014-06-08T01:00:00Z",,,,,,,,1,,,
"2014-06-08T01:00:00Z","2014-06-08T01:30:00Z",,,,,,,,1,,,
"2014-06-08T01:30:00Z","2014-06-08T02:00:00Z",,,,,,,,1,,,
"2014-06-08T02:00:00Z","2014-06-08T02:30:00Z",,,,,,,,1,,,
"2014-06-08T02:30:00Z","2014-06-08T03:00:00Z",,,,,,,,1,,,
"2014-06-08T03:00:00Z","2014-06-08T03:30:00Z",,,,,,,,1,,,
"2014-06-08T03:30:00Z","2014-06-08T04:00:00Z",,,,,,,,1,,,
"2014-06-08T04:00:00Z","2014-06-08T04:30:00Z",,,,,,,,1,,,
"2014-06-08T04:30:00Z","2014-06-08T05:00:00Z",,,,,,,,1,,,
"2014-06-08T05:00:00Z","2014-06-08T05:30:00Z",,,,,,,,1,,,
"2014-06-08T05:30:00Z","2014-06-08T06:00:00Z",,,,,,,,1,,,
"2014-06-08T06:00:00Z","2014-06-08T06:30:00Z",,,,,,,,1,,,
"2014-06-08T06:30:00Z","2014-06-08T07:00:00Z",,,,,,,,1,,,
"2014-06-08T07:00:00Z","2014-06-08T07:30:00Z",,,,,,,,1,,,
"2014-06-08T07:30:00Z","2014-06-08T08:00:00Z",,,,,,,,1,,,
"2014-06-08T08:00:00Z","2014-06-08T08:30:00Z",,,,,,,,1,,,
"2014-06-08T08:30:00Z","2014-06-08T09:00:00Z",,,,,,,,1,,,
"2014-06-08T09:00:00Z","2014-06-08T09:30:00Z",,,,,,,,1,,,
"2014-06-08T09:30:00Z","2014-06-08T10:00:00Z",,,,,,,,1,,,
"2014-06-08T10:00:00Z","2014-06-08T10:30:00Z",,,,,,,,1,,,
"2014-06-08T10:30:00Z","2014-06-08T11:00:00Z",,,,,,,,1,,,
"2014-06-08T11:00:00Z","2014-06-08T11:30:00Z",,,,,,,,1,,,
"2014-06-08T11:30:00Z","2014-06-08T12:00:00Z",,,,,,,,1,,,
"2014-06-08T12:00:00Z","2014-06-08T12:30:00Z",,,,,,,,1,,,
"2014-06-08T12:30:00Z","2014-06-08T13:00:00Z",,,,,,,,1,,,
"2014-06-08T13:00:00Z","2014-06-08T13:30:00Z",,,,,,,,1,,,
"2014-06-08T13:30:00Z","2014-06-08T14:00:00Z",,,,,,,,1,,,
"2014-06-08T14:00:00Z","2014-06-08T14:30:00Z",,,,,,,,1,,,
"2014-06-08T14:30:00Z","2014-06-08T15:00:00Z",,,,,,,,1,,,
"2014-06-08T15:00:00Z","2014-06-08T15:30:00Z",,,,,,,,1,,,
"2014-06-08T15:30:00Z","2014-06-08T16:00:00Z",,,,,,,,1,,,
"2014-06-08T16:00:00Z","2014-06-08T16:30:00Z",,,,,,,,1,,,
"2014-06-08T16:30:00Z","2014-06-08T17:00:00Z",,,,,,,,1,,,
"2014-06-08T17:00:00Z","2014-06-08T17:30:00Z",,,,,,,,1,,,
"2014-06-08T17:30:00Z","2014-06-08T18:00:00Z",,,,,,,,1,,,
"2014-06-08T18:00:00Z","2014-06-08T18:30:00Z",,,,,,,,1,,,
"2014-06-08T18:30:00Z","2014-06-08T19:00:00Z",,,,,,,,1,,,
"2014-06-08T19:00:00Z","2014-06-08T19:30:00Z",,,,,,,,1,,,
"2014-06-08T19:30:00Z","2014-06-08T20:00:00Z",,,,,,,,1,,,
"2014-06-08T20:00:00Z","2014-06-08T20:30:00Z",,,,,,,,1,,,
"2014-06-08T20:30:00Z","2014-06-08T21:00:00Z",,,,,,,,1,,,
"2014-06-08T21:00:00Z","2014-06-08T21:30:00Z",,,,,,,,1,,,
"2014-06-08T21:30:00Z","2014-06-08T22:00:00Z",,,,,,,,1,,,
"2014-06-08T22:00:00Z","2014-06-08T22:30:00Z",,,,,,,,1,,,
"2014-06-08T22:30:00Z","2014-06-08T23:00:00Z",,,,,,,,1,,,
"2014-06-08T23:00:00Z","2014-06-08T23:30:00Z",,,,,,,,1,,,
"2014-06-08T23:30:00Z","2014-06-09T00:00:00Z",,,,,,,,1,,,
"2014-06-09T00:00:00Z","2014-06-09T00:30:00Z",,,,,,,,1,,,
"2014-06-09T00:30:00Z","2014-06-09T01:00:00Z",,,,,,,,1,,,
"2014-06-09T01:00:00Z","2014-06-09T01:30:00Z",,,,,,,,1,,,
"2014-06-09T01:30:00Z","2014-06-09T02:00:00Z",,,,,,,,1,,,
"2014-06-09T02:00:00Z","2014-06-09T02:30:00Z",,,,,,,,1,,,
"2014-06-09T02:30:00Z","2014-06-09T03:00:00Z",,,,,,,,1,,,
"2014-06-09T03:00:00Z","2014-06-09T03:30:00Z",,,,,,,,1,,,
"2014-06-09T03:30:00Z","2014-06-09T04:00:00Z",,,,,,,,1,,,
"2014-06-09T04:00:00Z","2014-06-09T04:30:00Z",,,,,,,,1,,,
"2014-06-09T04:30:00Z","2014-06-09T05:00:00Z",,,,,,,,1,,,
"2014-06-09T05:00:00Z","2014-06-09T05:30:00Z",,,,,,,,1,,,
"2014-06-09T05:30:00Z","2014-06-09T06:00:00Z",,,,,,,,1,,,
"2014-06-09T06:00:00Z","2014-06-09T06:30:00Z",,,,,,,,1,,,
"2014-06-09T06:30:00Z","2014-06-09T07:00:00Z",,,,,,,,1,,,
"2014-06-09T07:00:00Z","2014-06-09T07:30:00Z",,,,,,,,1,,,
"2014-06-09T07:30:00Z","2014-06-09T08:00:00Z",,,,,,,,1,,,
"2014-06-09T08:00:00Z","2014-06-09T08:30:00Z",,,,,,,,1,,,
"2014-06-09T08:30:00Z","2014-06-09T09:00:00Z",,,,,,,,1,,,
"2014-06-09T09:00:00Z","2014-06-09T09:30:00Z",,,,,,,,1,,,
"2014-06-09T09:30:00Z","2014-06-09T10:00:00Z",,,,,,,,1,,,
"2014-06-09T10:00:00Z","2014-06-09T10:30:00Z",,,,,,,,1,,,
"2014-06-09T10:30:00Z","2014-06-09T11:00:00Z",,,,,,,,1,,,
"2014-06-09T11:00:00Z","2014-06-09T11:30:00Z",,,,,,,,1,,,
"2014-06-09T11:30:00Z","2014-06-09T12:00:00Z",,,,,,,,1,,,
"2014-06-09T12:00:00Z","2014-06-09T12:30:00Z",,,,,,,,1,,,
"2014-06-09T12:30:00Z","2014-06-09T13:00:00Z",,,,,,,,1,,,
"2014-06-09T13:00:00Z","2014-06-09T13:30:00Z",,,,,,,,1,,,
"2014-06-09T13:30:00Z","2014-06-09T14:00:00Z",,,,,,,,1,,,
"2014-06-09T14:00:00Z","2014-06-09T14:30:00Z",,,,,,,,1,,,
"2014-06-09T14:30:00Z","2014-06-09T15:00:00Z",,,,,,,,1,,,
"2014-06-09T15:00:00Z","2014-06-09T15:30:00Z",,,,,,,,1,,,
"2014-06-09T15:30:00Z","2014-06-09T16:00:00Z",,,,,,,,1,,,
"2014-06-09T16:00:00Z","2014-06-09T16:30:00Z",,,,,,,,1,,,
"2014-06-09T16:30:00Z","2014-06-09T17:00:00Z",,,,,,,,1,,,
"2014-06-09T17:00:00Z","2014-06-09T17:30:00Z",,,,,,,,1,,,
"2014-06-09T17:30:00Z","2014-06-09T18:00:00Z",,,,,,,,1,,,
"2014-06-09T18:00:00Z","2014-06-09T18:30:00Z",,,,,,,,1,,,
"2014-06-09T18:30:00Z","2014-06-09T19:00:00Z",,,,,,,,1,,,
"2014-06-09T19:00:00Z","2014-06-09T19:30:00Z",,,,,,,,1,,,
"2014-06-09T19:30:00Z","2014-06-09T20:00:00Z",,,,,,,,1,,,
"2014-06-09T20:00:00Z","2014-06-09T20:30:00Z",,,,,,,,1,,,
"2014-06-09T20:30:00Z","2014-06-09T21:00:00Z",,,,,,,,1,,,
"2014-06-09T21:00:00Z","2014-06-09T21:30:00Z",,,,,,,,1,,,
"2014-06-09T21:30:00Z","2014-06-09T22:00:00Z",,,,,,,,1,,,
"2014-06-09T22:00:00Z","2014-06-09T22:30:00Z",,,,,,,,1,,,
"2014-06-09T22:30:00Z","2014-06-09T23:00:00Z",,,,,,,,1,,,
"2014-06-09T23:00:00Z","2014-06-09T23:30:00Z",,,,,,,,1,,,
"2014-06-09T23:30:00Z","2014-06-10T00:00:00Z",,,,,,,,1,,,
"2014-06-10T00:00:00Z","2014-06-10T00:30:00Z",,,,,,,,1,,,
"2014-06-10T00:30:00Z","2014-06-10T01:00:00Z",,,,,,,,1,,,
"2014-06-10T01:00:00Z","2014-06-10T01:30:00Z",,,,,,,,1,,,
"2014-06-10T01:30:00Z","2014-06-10T02:00:00Z",,,,,,,,1,,,
"2014-06-10T02:00:00Z","2014-06-10T02:30:00Z",,,,,,,,1,,,
"2014-06-10T02:30:00Z","2014-06-10T03:00:00Z",,,,,,,,1,,,
"2014-06-10T03:00:00Z","2014-06-10T03:30:00Z",,,,,,,,1,,,
"2014-06-10T03:30:00Z","2014-06-10T04:00:00Z",,,,,,,,1,,,
"2014-06-10T04:00:00Z","2014-06-10T04:30:00Z",,,,,,,,1,,,
"2014-06-10T04:30:00Z","2014-06-10T05:00:00Z",,,,,,,,1,,,
"2014-06-10T05:00:00Z","2014-06-10T05:30:00Z",,,,,,,,1,,,
"2014-06-10T05:30:00Z","2014-06-10T06:00:00Z",,,,,,,,1,,,
"2014-06-10T06:00:00Z","2014-06-10T06:30:00Z",,,,,,,,1,,,
"2014-06-10T06:30:00Z","2014-06-10T07:00:00Z",,,,,,,,1,,,
"2014-06-10T07:00:00Z","2014-06-10T07:30:00Z",,,,,,,,1,,,
"2014-06-10T07:30:00Z","2014-06-10T08:00:00Z",,,,,,,,1,,,
"2014-06-10T08:00:00Z","2014-06-10T08:30:00Z",,,,,,,,1,,,
"2014-06-10T08:30:00Z","2014-06-10T09:00:00Z",,,,,,,,1,,,
"2014-06-10T09:00:00Z","2014-06-10T09:30:00Z",,,,,,,,1,,,
"2014-06-10T09:30:00Z","2014-06-10T10:00:00Z",,,,,,,,1,,,
"2014-06-10T10:00:00Z","2014-06-10T10:30:00Z",,,,,,,,1,,,
"2014-06-10T10:30:00Z","2014-06-10T11:00:00Z",,,,,,,,1,,,
"2014-06-10T11:00:00Z","2014-06-10T11:30:00Z",,,,,,,,1,,,
"2014-06-10T11:30:00Z","2014-06-10T12:00:00Z",,,,,,,,1,,,
"2014-06-10T12:00:00Z","2014-06-10T12:30:00Z",,,,,,,,1,,,
"2014-06-10T12:30:00Z","2014-06-10T13:00:00Z",,,,,,,,1,,,
"2014-06-10T13:00:00Z","2014-06-10T13:30:00Z",,,,,,,,1,,,
"2014-06-10T13:30:00Z","2014-06-10T14:00:00Z",,,,,,,,1,,,
"2014-06-10T14:00:00Z","2014-06-10T14:30:00Z",,,,,,,,1,,,
"2014-06-10T14:30:00Z","2014-06-10T15:00:00Z",,,,,,,,1,,,
"2014-06-10T15:00:00Z","2014-06-10T15:30:00Z",,,,,,,,1,,,
"2014-06-10T15:30:00Z","2014-06-10T16:00:00Z",,,,,,,,1,,,
"2014-06-10T16:00:00Z","2014-06-10T16:30:00Z",,,,,,,,1,,,
"2014-06-10T16:30:00Z","2014-06-10T17:00:00Z",,,,,,,,1,,,
"2014-06-10T17:00:00Z","2014-06-10T17:30:00Z",,,,,,,,1,,,
"2014-06-10T17:30:00Z","2014-06-10T18:00:00Z",,,,,,,,1,,,
"2014-06-10T18:00:00Z","2014-06-10T18:30:00Z",,,,,,,,1,,,
"2014-06-10T18:30:00Z","2014-06-10T19:00:00Z",,,,,,,,1,,,
"2014-06-10T19:00:00Z","2014-06-10T19:30:00Z",,,,,,,,1,,,
"2014-06-10T19:30:00Z","2014-06-10T20:00:00Z",,,,,,,,1,,,
"2014-06-10T20:00:00Z","2014-06-10T20:30:00Z",,,,,,,,1,,,
"2014-06-10T20:30:00Z","2014-06-10T21:00:00Z",,,,,,,,1,,,
"2014-06-10T21:00:00Z","2014-06-10T21:30:00Z",,,,,,,,1,,,
"2014-06-10T21:30:00Z","2014-06-10T22:00:00Z",,,,,,,,1,,,
"2014-06-10T22:00:00Z","2014-06-10T22:30:00Z",,,,,,,,1,,,
"2014-06-10T22:30:00Z","2014-06-10T23:00:00Z",,,,,,,,1,,,
"2014-06-10T23:00:00Z","2014-06-10T23:30:00Z",,,,,,,,1,,,
"2014-06-10T23:30:00Z","2014-06-11T00:00:00Z",,,,,,,,1,,,
"2014-06-11T00:00:00Z","2014-06-11T00:30:00Z",,,,,,,,1,,,
"2014-06-11T00:30:00Z","2014-06-11T01:00:00Z",,,,,,,,1,,,
"2014-06-11T01:00:00Z","2014-06-11T01:30:00Z",,,,,,,,1,,,
"2014-06-11T01:30:00Z","2014-06-11T02:00:00Z",,,,,,,,1,,,
"2014-06-11T02:00:00Z","2014-06-11T02:30:00Z",,,,,,,,1,,,
"2014-06-11T02:30:00Z","2014-06-11T03:00:00Z",,,,,,,,1,,,
"2014-06-11T03:00:00Z","2014-06-11T03:30:00Z",,,,,,,,1,,,
"2014-06-11T03:30:00Z","2014-06-11T04:00:00Z",,,,,,,,1,,,
"2014-06-11T04:00:00Z","2014-06-11T04:30:00Z",,,,,,,,1,,,
"2014-06-11T04:30:00Z","2014-06-11T05:00:00Z",,,,,,,,1,,,
"2014-06-11T05:00:00Z","2014-06-11T05:30:00Z",,,,,,,,1,,,
"2014-06-11T05:30:00Z","2014-06-11T06:00:00Z",,,,,,,,1,,,
"2014-06-11T06:00:00Z","2014-06-11T06:30:00Z",,,,,,,,1,,,
"2014-06-11T06:30:00Z","2014-06-11T07:00:00Z",,,,,,,,1,,,
"2014-06-11T07:00:00Z","2014-06-11T07:30:00Z",,,,,,,,1,,,
"2014-06-11T07:30:00Z","2014-06-11T08:00:00Z",,,,,,,,1,,,
"2014-06-11T08:00:00Z","2014-06-11T08:30:00Z",,,,,,,,1,,,
"2014-06-11T08:30:00Z","2014-06-11T09:00:00Z",,,,,,,,1,,,
"2014-06-11T09:00:00Z","2014-06-11T09:30:00Z",,,,,,,,1,,,
"2014-06-11T09:30:00Z","2014-06-11T10:00:00Z",,,,,,,,1,,,
"2014-06-11T10:00:00Z","2014-06-11T10:30:00Z",,,,,,,,1,,,
"2014-06-11T10:30:00Z","2014-06-11T11:00:00Z",,,,,,,,1,,,
"2014-06-11T11:00:00Z","2014-06-11T11:30:00Z",,,,,,,,1,,,
"2014-06-11T11:30:00Z","2014-06-11T12:00:00Z",,,,,,,,1,,,
"2014-06-11T12:00:00Z","2014-06-11T12:30:00Z",,,,,,,,1,,,
"2014-06-11T12:30:00Z","2014-06-11T13:00:00Z",,,,,,,,1,,,
"2014-06-11T13:00:00Z","2014-06-11T13:30:00Z",,,,,,,,1,,,
"2014-06-11T13:30:00Z","2014-06-11T14:00:00Z",,,,,,,,1,,,
"2014-06-11T14:00:00Z","2014-06-11T14:30:00Z",,,,,,,,1,,,
"2014-06-11T14:30:00Z","2014-06-11T15:00:00Z",,,,,,,,1,,,
"2014-06-11T15:00:00Z","2014-06-11T15:30:00Z",,,,,,,,1,,,
"2014-06-11T15:30:00Z","2014-06-11T16:00:00Z",,,,,,,,1,,,
"2014-06-11T16:00:00Z","2014-06-11T16:30:00Z",,,,,,,,1,,,
"2014-06-11T16:30:00Z","2014-06-11T17:00:00Z",,,,,,,,1,,,
"2014-06-11T17:00:00Z","2014-06-11T17:30:00Z",,,,,,,,1,,,
"2014-06-11T17:30:00Z","2014-06-11T18:00:00Z",,,,,,,,1,,,
"2014-06-11T18:00:00Z","2014-06-11T18:30:00Z",,,,,,,,1,,,
"2014-06-11T18:30:00Z","2014-06-11T19:00:00Z",,,,,,,,1,,,
"2014-06-11T19:00:00Z","2014-06-11T19:30:00Z",,,,,,,,1,,,
"2014-06-11T19:30:00Z","2014-06-11T20:00:00Z",,,,,,,,1,,,
"2014-06-11T20:00:00Z","2014-06-11T20:30:00Z",,,,,,,,1,,,
"2014-06-11T20:30:00Z","2014-06-11T21:00:00Z",,,,,,,,1,,,
"2014-06-11T21:00:00Z","2014-06-11T21:30:00Z",,,,,,,,1,,,
"2014-06-11T21:30:00Z","2014-06-11T22:00:00Z",,,,,,,,1,,,
"2014-06-11T22:00:00Z","2014-06-11T22:30:00Z",,,,,,,,1,,,
"2014-06-11T22:30:00Z","2014-06-11T23:00:00Z",,,,,,,,1,,,
"2014-06-11T23:00:00Z","2014-06-11T23:30:00Z",,,,,,,,1,,,
"2014-06-11T23:30:00Z","2014-06-12T00:00:00Z",,,,,,,,1,,,
"2014-06-12T00:00:00Z","2014-06-12T00:30:00Z",,,,,,,,1,,,
"2014-06-12T00:30:00Z","2014-06-12T01:00:00Z",,,,,,,,1,,,
"2014-06-12T01:00:00Z","2014-06-12T01:30:00Z",,,,,,,,1,,,
"2014-06-12T01:30:00Z","2014-06-12T02:00:00Z",,,,,,,,1,,,
"2014-06-12T02:00:00Z","2014-06-12T02:30:00Z",,,,,,,,1,,,
"2014-06-12T02:30:00Z","2014-06-12T03:00:00Z",,,,,,,,1,,,
"2014-06-12T03:00:00Z","2014-06-12T03:30:00Z",,,,,,,,1,,,
"2014-06-12T03:30:00Z","2014-06-12T04:00:00Z",,,,,,,,1,,,
"2014-06-12T04:00:00Z","2014-06-12T04:30:00Z",,,,,,,,1,,,
"2014-06-12T04:30:00Z","2014-06-12T05:00:00Z",,,,,,,,1,,,
"2014-06-12T05:00:00Z","2014-06-12T05:30:00Z",,,,,,,,1,,,
"2014-06-12T05:30:00Z","2014-06-12T06:00:00Z",,,,,,,,1,,,
"2014-06-12T06:00:00Z","2014-06-12T06:30:00Z",,,,,,,,1,,,
"2014-06-12T06:30:00Z","2014-06-12T07:00:00Z",,,,,,,,1,,,
"2014-06-12T07:00:00Z","2014-06-12T07:30:00Z",,,,,,,,1,,,
"2014-06-12T07:30:00Z","2014-06-12T08:00:00Z",,,,,,,,1,,,
"2014-06-12T08:00:00Z","2014-06-12T08:30:00Z",,,,,,,,1,,,
"2014-06-12T08:30:00Z","2014-06-12T09:00:00Z",,,,,,,,1,,,
"2014-06-12T09:00:00Z","2014-06-12T09:30:00Z",,,,,,,,1,,,
"2014-06-12T09:30:00Z","2014-06-12T10:00:00Z",,,,,,,,1,,,
"2014-06-12T10:00:00Z","2014-06-12T10:30:00Z",,,,,,,,1,,,
"2014-06-12T10:30:00Z","2014-06-12T11:00:00Z",,,,,,,,1,,,
